"tarih","id","score","tahmin_var","olay_varmi","match","toplam_olay_sayisi","tahmin_dogru_number","tahmin_yanlis_number"
"3/8/2017","1723","0.0121439","0","0",,"11",,
"3/8/2017","1724","0.00578518","0","0",,"11",,
"3/8/2017","1725","0.0232123213","0","0",,"11",,
"3/8/2017","1726","0.00439678","0","0",,"11",,
"3/8/2017","1727","0.0102519","0","0",,"11",,
"3/8/2017","1728","0.011726","0","0",,"11",,
"3/8/2017","1729","0.00993553","0","0",,"11",,
"3/8/2017","1730","0.0103328","0","0",,"11",,
"7/8/2017","4090","0.0234006","0","0",,"10",,
"3/8/2017","1731","0.00022703","0","0",,"11",,
"3/8/2017","1733","0.0036223","0","0",,"11",,
"3/8/2017","1734","0.00457565","0","0",,"11",,
"3/8/2017","1735","0.00893216","0","0",,"11",,
"3/8/2017","1736","0.0031892","0","0",,"11",,
"3/8/2017","1737","0.00568702","0","0",,"11",,
"3/8/2017","1738","0.000887329","0","0",,"11",,
"3/8/2017","1739","0.00406426","0","0",,"11",,
"3/8/2017","1740","0.000789735","0","0",,"11",,
"3/8/2017","1742","0.0161803","0","0",,"11",,
"3/8/2017","1743","0.00157832","0","0",,"11",,
"3/8/2017","1744","0.00180692","0","0",,"11",,
"3/8/2017","1745","0.0169212","0","0",,"11",,
"3/8/2017","1746","0.00563875","0","0",,"11",,
"3/8/2017","1747","0.0164086","0","0",,"11",,
"3/8/2017","1748","0.01035","0","0",,"11",,
"3/8/2017","1749","0.0142727","0","0",,"11",,
"3/8/2017","1752","0.00217169","0","0",,"11",,
"3/8/2017","1753","0.00807806","0","0",,"11",,
"3/8/2017","1754","0.0128382","0","0",,"11",,
"3/8/2017","1755","0.0060732","0","0",,"11",,
"3/8/2017","1756","0.0135128","0","0",,"11",,
"3/8/2017","1757","0.00224105","0","0",,"11",,
"3/8/2017","1758","0.00275273","0","0",,"11",,
"3/8/2017","1759","0.0112328","0","0",,"11",,
"3/8/2017","1760","0.00670941","0","0",,"11",,
"3/8/2017","1761","0.0101542","0","0",,"11",,
"3/8/2017","1762","0.0126248","0","0",,"11",,
"3/8/2017","1763","0.00110598","0","0",,"11",,
"3/8/2017","1764","0.00913835","0","0",,"11",,
"3/8/2017","1765","0.0154952","0","0",,"11",,
"8/8/2017","4147","0.0257714","0","0",,"11",,
"8/8/2017","4223","0.0133199","0","0",,"11",,
"8/8/2017","4304","0.000703755","0","0",,"11",,
"8/8/2017","4305","0.0125105","0","0",,"11",,
"8/8/2017","4346","0.00658467","0","0",,"11",,
"8/8/2017","4348","0.00932691","0","0",,"11",,
"8/8/2017","4349","0.0167663","0","0",,"11",,
"8/8/2017","4386","0.0409202","0","0",,"11",,
"4/8/2017","2049","0.0175851","0","0",,"10",,
"4/8/2017","2050","0.00373285","0","0",,"10",,
"4/8/2017","2051","0.0195832","0","0",,"10",,
"4/8/2017","2053","0.000884854","0","0",,"10",,
"4/8/2017","2054","0.0148702","0","0",,"10",,
"4/8/2017","2055","0.0170361","0","0",,"10",,
"4/8/2017","2056","0.000810903","0","0",,"10",,
"4/8/2017","2057","0.0121564","0","0",,"10",,
"4/8/2017","2058","0.00867389","0","0",,"10",,
"4/8/2017","2059","0.00109721","0","0",,"10",,
"4/8/2017","2060","0.0192429","0","0",,"10",,
"4/8/2017","2061","0.00782562","0","0",,"10",,
"4/8/2017","2062","0.0154662","0","0",,"10",,
"4/8/2017","2063","0.000891145","0","0",,"10",,
"4/8/2017","2064","0.00575794","0","0",,"10",,
"4/8/2017","2065","0.0205925","0","0",,"10",,
"4/8/2017","2066","0.0172826","0","0",,"10",,
"4/8/2017","2067","0.0128032","0","0",,"10",,
"4/8/2017","2068","0.000745862","0","0",,"10",,
"4/8/2017","2069","0.014476","0","0",,"10",,
"4/8/2017","2070","0.0166386","0","0",,"10",,
"4/8/2017","2071","0.00404374","0","0",,"10",,
"4/8/2017","2072","0.0155904","0","0",,"10",,
"4/8/2017","2073","0.00167672","0","0",,"10",,
"4/8/2017","2074","0.00912496","0","0",,"10",,
"4/8/2017","2075","0.0139549","0","0",,"10",,
"4/8/2017","2076","0.0120686","0","0",,"10",,
"4/8/2017","2077","0.00960763","0","0",,"10",,
"4/8/2017","2078","0.00892622","0","0",,"10",,
"4/8/2017","2079","0.0204972","0","0",,"10",,
"4/8/2017","2080","0.00511044","0","0",,"10",,
"4/8/2017","2081","0.0130101","0","0",,"10",,
"4/8/2017","2082","0.000666464","0","0",,"10",,
"4/8/2017","2083","0.00149665","0","0",,"10",,
"4/8/2017","2084","0.00457764","0","0",,"10",,
"4/8/2017","2085","0.0141882","0","0",,"10",,
"4/8/2017","2086","0.0169198","0","0",,"10",,
"4/8/2017","2087","0.0014555","0","0",,"10",,
"4/8/2017","2088","0.0132533","0","0",,"10",,
"4/8/2017","2089","0.00248124","0","0",,"10",,
"4/8/2017","2090","0.0171431","0","0",,"10",,
"4/8/2017","2091","0.0166735","0","0",,"10",,
